Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Job Role
M.Tech,Information Technology,Cloud Security,8.9,"Networking, Cyber Threat Analysis, Firewalls, Risk Assessment, Linux, Cryptography",CISSP,1.8,Cybersecurity,Cyber Security Analyst
MCA,Cybersecurity,Cyber Security,9.51,"Ethical Hacking, Firewalls, Penetration Testing, Cryptography, SIEM Tools","CEH (Certified Ethical Hacker), CISSP",3.6,Banking,Cyber Security Analyst
B.Tech,Computer Science,Digital Forensics,7.51,"Linux, Risk Assessment, Python, Networking, Cryptography",CCNA Security,0,Cloud Security,Cyber Security Analyst
M.Tech,Network Security,Digital Forensics,7.98,"Networking, Cryptography, Penetration Testing, Linux",CEH (Certified Ethical Hacker),2.7,Banking,Cyber Security Analyst
B.Tech,Data Science,Network Defense,8.74,"Cryptography, SIEM Tools, Ethical Hacking, Penetration Testing, Python",CEH (Certified Ethical Hacker),4.4,FinTech,Cyber Security Analyst
MCA,Network Security,Network Defense,7.83,"Ethical Hacking, Cyber Threat Analysis, Risk Assessment, Penetration Testing, Python, Networking, Firewalls","Cybersecurity Fundamentals, ISO 27001 Certification, CISSP",1.7,IT Services,Cyber Security Analyst
M.Tech,Data Science,Information Security,8.72,"Cyber Threat Analysis, Ethical Hacking, Penetration Testing, Python, Cryptography","Cybersecurity Fundamentals, ISO 27001 Certification",0.1,FinTech,Cyber Security Analyst
MCA,Computer Science,Cloud Security,8.46,"Networking, Linux, Python, Cryptography",CEH (Certified Ethical Hacker),2.9,Cybersecurity,Cyber Security Analyst
BCA,Network Security,Cloud Security,8.56,"Ethical Hacking, Linux, Cyber Threat Analysis, Risk Assessment","CompTIA Security+, CISSP, Cybersecurity Fundamentals",1.2,Cloud Security,Cyber Security Analyst
BCA,Computer Science,Cloud Security,7.89,"Firewalls, Ethical Hacking, Penetration Testing, Python, Risk Assessment","Cybersecurity Fundamentals, CCNA Security, ISO 27001 Certification",3.4,Cloud Security,Cyber Security Analyst
B.Sc,Network Security,Network Defense,7.41,"Penetration Testing, Risk Assessment, SIEM Tools, Firewalls, Python","CISSP, Cybersecurity Fundamentals",3.4,Government/Defense,Cyber Security Analyst
MCA,Network Security,Network Defense,9.79,"Cryptography, SIEM Tools, Ethical Hacking, Linux","ISO 27001 Certification, Cybersecurity Fundamentals",1.4,FinTech,Cyber Security Analyst
BCA,Cybersecurity,Information Security,9.7,"Penetration Testing, Risk Assessment, Firewalls, SIEM Tools, Linux, Cyber Threat Analysis",CCNA Security,3,FinTech,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,9.09,"Ethical Hacking, Firewalls, Networking, Risk Assessment, Cyber Threat Analysis, Cryptography, Python","CISSP, CompTIA Security+, Cybersecurity Fundamentals",4.6,Government/Defense,Cyber Security Analyst
M.Tech,Information Technology,Cloud Security,6.89,"Penetration Testing, Firewalls, Cyber Threat Analysis, Networking, Linux, Ethical Hacking, Risk Assessment","CompTIA Security+, CCNA Security, CEH (Certified Ethical Hacker)",0.2,Government/Defense,Cyber Security Analyst
BCA,Information Technology,Network Defense,7.57,"SIEM Tools, Cryptography, Cyber Threat Analysis, Risk Assessment, Penetration Testing, Linux, Python","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, ISO 27001 Certification",4.8,IT Services,Cyber Security Analyst
B.Sc,Cybersecurity,Cyber Security,9.12,"Networking, SIEM Tools, Risk Assessment, Cyber Threat Analysis","CompTIA Security+, CISSP, CEH (Certified Ethical Hacker)",2.4,Banking,Cyber Security Analyst
M.Tech,Network Security,Cyber Security,9.83,"Risk Assessment, Cyber Threat Analysis, Ethical Hacking, SIEM Tools, Cryptography, Python",Cybersecurity Fundamentals,2.8,IT Services,Cyber Security Analyst
B.Tech,Network Security,Network Defense,6.9,"SIEM Tools, Networking, Linux, Ethical Hacking, Cryptography, Firewalls","CEH (Certified Ethical Hacker), CompTIA Security+, ISO 27001 Certification",0.8,Cybersecurity,Cyber Security Analyst
B.Tech,Data Science,Digital Forensics,8.9,"Cryptography, Ethical Hacking, Firewalls, Risk Assessment, Linux",CEH (Certified Ethical Hacker),2.8,IT Services,Cyber Security Analyst
B.Tech,Network Security,Digital Forensics,8.74,"Linux, Python, Ethical Hacking, Firewalls, Cyber Threat Analysis, Penetration Testing, Cryptography","CCNA Security, CompTIA Security+",1.2,Banking,Cyber Security Analyst
BCA,Network Security,Digital Forensics,6.62,"Risk Assessment, Networking, Cryptography, SIEM Tools, Linux, Penetration Testing",Cybersecurity Fundamentals,4.8,FinTech,Cyber Security Analyst
B.Tech,Computer Science,Digital Forensics,8.91,"Penetration Testing, Python, Networking, Firewalls","Cybersecurity Fundamentals, CompTIA Security+",3.5,Cybersecurity,Cyber Security Analyst
BCA,Data Science,Network Defense,6.74,"Linux, Risk Assessment, Penetration Testing, Ethical Hacking","CompTIA Security+, CCNA Security",3.3,Cybersecurity,Cyber Security Analyst
M.Tech,Cybersecurity,Information Security,9.66,"Cyber Threat Analysis, Penetration Testing, SIEM Tools, Risk Assessment, Python, Cryptography","CEH (Certified Ethical Hacker), CCNA Security, ISO 27001 Certification",0.8,IT Services,Cyber Security Analyst
BCA,Computer Science,Network Defense,9.79,"Linux, Firewalls, Ethical Hacking, SIEM Tools, Cyber Threat Analysis, Python","CCNA Security, CEH (Certified Ethical Hacker)",4.2,IT Services,Cyber Security Analyst
BCA,Data Science,Network Defense,9.27,"Risk Assessment, Penetration Testing, Firewalls, Linux, SIEM Tools","CompTIA Security+, CEH (Certified Ethical Hacker), CISSP",4.4,IT Services,Cyber Security Analyst
MCA,Cybersecurity,Digital Forensics,7.7,"SIEM Tools, Cyber Threat Analysis, Risk Assessment, Python",CCNA Security,2.9,Cybersecurity,Cyber Security Analyst
B.Sc,Cybersecurity,Digital Forensics,6.78,"SIEM Tools, Cryptography, Cyber Threat Analysis, Risk Assessment","CCNA Security, CISSP, CEH (Certified Ethical Hacker)",3.9,Cybersecurity,Cyber Security Analyst
BCA,Computer Science,Cyber Security,8.5,"Penetration Testing, Python, Risk Assessment, Ethical Hacking, Firewalls, Linux","ISO 27001 Certification, CCNA Security, Cybersecurity Fundamentals",2.4,Banking,Cyber Security Analyst
MCA,Cybersecurity,Network Defense,8.32,"Linux, SIEM Tools, Penetration Testing, Python, Ethical Hacking","CISSP, Cybersecurity Fundamentals, ISO 27001 Certification",1,Cybersecurity,Cyber Security Analyst
B.Sc,Computer Science,Network Defense,7.37,"Networking, SIEM Tools, Linux, Ethical Hacking",CompTIA Security+,1.6,Banking,Cyber Security Analyst
MCA,Computer Science,Cyber Security,6.94,"Firewalls, SIEM Tools, Penetration Testing, Networking, Linux, Ethical Hacking, Cyber Threat Analysis","CCNA Security, Cybersecurity Fundamentals, ISO 27001 Certification",1.4,Government/Defense,Cyber Security Analyst
B.Tech,Cybersecurity,Digital Forensics,9.07,"Firewalls, Cyber Threat Analysis, Linux, Networking, Penetration Testing, Cryptography, Risk Assessment","CEH (Certified Ethical Hacker), CISSP",4.6,IT Services,Cyber Security Analyst
B.Sc,Network Security,Cloud Security,9.06,"Firewalls, Risk Assessment, Ethical Hacking, Linux, SIEM Tools, Networking","CompTIA Security+, CCNA Security",3.5,Cloud Security,Cyber Security Analyst
B.Tech,Network Security,Information Security,9.2,"Risk Assessment, Cryptography, Cyber Threat Analysis, Networking, Penetration Testing","CCNA Security, Cybersecurity Fundamentals, ISO 27001 Certification",4.7,Cybersecurity,Cyber Security Analyst
B.Sc,Data Science,Network Defense,7.84,"Penetration Testing, Cryptography, Networking, Linux, Python, Cyber Threat Analysis",CISSP,4.3,FinTech,Cyber Security Analyst
M.Tech,Cybersecurity,Cloud Security,7.26,"Penetration Testing, Cyber Threat Analysis, SIEM Tools, Ethical Hacking, Risk Assessment, Python",Cybersecurity Fundamentals,2.2,Cloud Security,Cyber Security Analyst
BCA,Network Security,Digital Forensics,7.24,"Cyber Threat Analysis, Linux, Networking, Risk Assessment, Python, Ethical Hacking","CompTIA Security+, Cybersecurity Fundamentals, CCNA Security",0.3,FinTech,Cyber Security Analyst
MCA,Information Technology,Network Defense,7.38,"SIEM Tools, Penetration Testing, Networking, Python","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker), CCNA Security",3,Cloud Security,Cyber Security Analyst
BCA,Computer Science,Information Security,8.5,"Cryptography, Penetration Testing, Linux, SIEM Tools, Cyber Threat Analysis, Ethical Hacking",Cybersecurity Fundamentals,0.9,IT Services,Cyber Security Analyst
BCA,Computer Science,Network Defense,6.63,"Firewalls, Cryptography, Penetration Testing, Networking, SIEM Tools","ISO 27001 Certification, CISSP",0.4,Government/Defense,Cyber Security Analyst
BCA,Network Security,Cloud Security,9.77,"Firewalls, Cyber Threat Analysis, Risk Assessment, SIEM Tools, Python",CCNA Security,3.3,Banking,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,8.99,"Linux, Risk Assessment, Ethical Hacking, Cyber Threat Analysis","CCNA Security, ISO 27001 Certification",0.8,Cybersecurity,Cyber Security Analyst
B.Sc,Data Science,Cloud Security,6.96,"Ethical Hacking, Cyber Threat Analysis, Penetration Testing, Risk Assessment, Python, SIEM Tools","Cybersecurity Fundamentals, CISSP, CCNA Security",3.9,Government/Defense,Cyber Security Analyst
BCA,Network Security,Cloud Security,9.63,"Python, Penetration Testing, Networking, Risk Assessment, Cyber Threat Analysis, Linux",CISSP,3.8,Government/Defense,Cyber Security Analyst
M.Tech,Cybersecurity,Information Security,8.03,"Ethical Hacking, Python, Networking, Firewalls","CISSP, CompTIA Security+",3.3,Banking,Cyber Security Analyst
M.Tech,Data Science,Network Defense,6.93,"Cyber Threat Analysis, Linux, SIEM Tools, Risk Assessment, Python",CCNA Security,2.1,IT Services,Cyber Security Analyst
BCA,Data Science,Information Security,8.97,"Cyber Threat Analysis, Risk Assessment, Firewalls, Penetration Testing","CCNA Security, CISSP, CompTIA Security+",3.2,Government/Defense,Cyber Security Analyst
M.Tech,Information Technology,Information Security,7.2,"Networking, Cryptography, Cyber Threat Analysis, Penetration Testing, Python, Risk Assessment, Firewalls","CCNA Security, ISO 27001 Certification",2.8,Cybersecurity,Cyber Security Analyst
BCA,Network Security,Information Security,8.86,"Penetration Testing, SIEM Tools, Ethical Hacking, Linux, Risk Assessment","CCNA Security, CISSP",2.8,Cybersecurity,Cyber Security Analyst
BCA,Information Technology,Cloud Security,9.1,"Penetration Testing, SIEM Tools, Cyber Threat Analysis, Risk Assessment","CEH (Certified Ethical Hacker), CCNA Security, CISSP",1,Government/Defense,Cyber Security Analyst
B.Tech,Information Technology,Information Security,7.85,"Networking, Penetration Testing, Cryptography, Linux","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker), CISSP",4.2,Cloud Security,Cyber Security Analyst
B.Tech,Information Technology,Network Defense,6.67,"Linux, Networking, Penetration Testing, Cyber Threat Analysis, Cryptography, Python, Firewalls",CEH (Certified Ethical Hacker),4.2,IT Services,Cyber Security Analyst
B.Sc,Computer Science,Information Security,7.76,"Ethical Hacking, Penetration Testing, Python, Risk Assessment, Firewalls, SIEM Tools, Networking","CompTIA Security+, CCNA Security, Cybersecurity Fundamentals",4.2,Banking,Cyber Security Analyst
B.Tech,Network Security,Cloud Security,8.36,"Penetration Testing, SIEM Tools, Python, Risk Assessment, Networking, Cryptography, Cyber Threat Analysis","CompTIA Security+, Cybersecurity Fundamentals, CCNA Security",1.1,Cybersecurity,Cyber Security Analyst
BCA,Computer Science,Digital Forensics,9.56,"Firewalls, Cryptography, Risk Assessment, Linux, Cyber Threat Analysis","CEH (Certified Ethical Hacker), CISSP, CCNA Security",4.6,Government/Defense,Cyber Security Analyst
B.Sc,Network Security,Cloud Security,8.02,"Cyber Threat Analysis, Penetration Testing, SIEM Tools, Networking","CCNA Security, CompTIA Security+, CISSP",3.5,Cloud Security,Cyber Security Analyst
MCA,Computer Science,Information Security,8,"Linux, Cyber Threat Analysis, SIEM Tools, Cryptography, Networking","CEH (Certified Ethical Hacker), CCNA Security",1.5,Cloud Security,Cyber Security Analyst
B.Tech,Information Technology,Cyber Security,7.88,"Risk Assessment, Ethical Hacking, SIEM Tools, Penetration Testing","CISSP, CEH (Certified Ethical Hacker), Cybersecurity Fundamentals",1.5,Cloud Security,Cyber Security Analyst
B.Tech,Network Security,Digital Forensics,7.62,"Python, Ethical Hacking, Cryptography, Networking, Penetration Testing",CEH (Certified Ethical Hacker),2.6,FinTech,Cyber Security Analyst
